run,t,strategy,miscovered,n_calibration,interval_length,threshold,score_t,sum_s_past
28,20,FULL,1,30,0.6616468529482541,0.33082342647412705,0.42702811280555797,19.0
28,20,S-FULL,1,30,0.6616468529482541,0.33082342647412705,0.42702811280555797,19.0
28,20,S-FIX,1,10,0.7175689480526166,0.3587844740263083,0.42702811280555797,19.0
28,20,ADA,1,13,0.6616468529482541,0.33082342647412705,0.42702811280555797,19.0
28,20,EXPRESS,1,0,0.0,-inf,0.42702811280555797,19.0
28,20,K-EXPRESS,0,0,inf,inf,0.42702811280555797,19.0
28,20,EXPRESS-M,0,10,4.2459397784408734,2.1229698892204367,0.42702811280555797,19.0
39,20,FULL,1,30,0.4933634986366615,0.24668174931833076,0.31835226036066055,18.0
39,20,S-FULL,1,30,0.5248827072704736,0.2624413536352368,0.31835226036066055,18.0
39,20,S-FIX,1,10,0.430359890677642,0.215179945338821,0.31835226036066055,18.0
39,20,ADA,1,26,0.5248827072704736,0.2624413536352368,0.31835226036066055,18.0
39,20,EXPRESS,0,0,inf,inf,0.31835226036066055,18.0
39,20,K-EXPRESS,1,13,0.2620275946732913,0.13101379733664564,0.31835226036066055,18.0
39,20,EXPRESS-M,0,10,1.6986954962699272,0.8493477481349636,0.31835226036066055,18.0
58,20,FULL,0,30,0.8992406599107263,0.44962032995536316,0.006357355328091341,18.0
58,20,S-FULL,0,30,0.8959312893198235,0.44796564465991173,0.006357355328091341,18.0
58,20,S-FIX,0,10,1.336555645126114,0.668277822563057,0.006357355328091341,18.0
58,20,ADA,0,28,0.8959312893198235,0.44796564465991173,0.006357355328091341,18.0
58,20,EXPRESS,0,16,0.5708431601260195,0.28542158006300977,0.006357355328091341,18.0
58,20,K-EXPRESS,0,12,1.172244036884963,0.5861220184424815,0.006357355328091341,18.0
58,20,EXPRESS-M,0,26,0.818500364917301,0.4092501824586505,0.006357355328091341,18.0
61,20,FULL,0,30,0.6583412752246431,0.32917063761232157,0.03869361045321068,18.0
61,20,S-FULL,0,30,0.6583412752246431,0.32917063761232157,0.03869361045321068,18.0
61,20,S-FIX,0,10,0.27871780406504393,0.13935890203252196,0.03869361045321068,18.0
61,20,ADA,0,28,0.648976030433972,0.324488015216986,0.03869361045321068,18.0
61,20,EXPRESS,0,21,0.5367638941454334,0.2683819470727167,0.03869361045321068,18.0
61,20,K-EXPRESS,0,12,0.27871780406504393,0.13935890203252196,0.03869361045321068,18.0
61,20,EXPRESS-M,0,31,0.6583412752246431,0.32917063761232157,0.03869361045321068,18.0
78,20,FULL,1,30,0.7150394986136219,0.35751974930681096,0.49095151304875695,18.0
78,20,S-FULL,1,30,0.7150394986136219,0.35751974930681096,0.49095151304875695,18.0
78,20,S-FIX,0,10,1.1938145747987248,0.5969072873993624,0.49095151304875695,18.0
78,20,ADA,1,26,0.7150394986136219,0.35751974930681096,0.49095151304875695,18.0
78,20,EXPRESS,0,1,inf,inf,0.49095151304875695,18.0
78,20,K-EXPRESS,1,10,0.6934589808079656,0.3467294904039828,0.49095151304875695,18.0
78,20,EXPRESS-M,1,11,0.11788770765636114,0.05894385382818057,0.49095151304875695,18.0
119,20,FULL,1,30,0.7165394135742806,0.3582697067871403,1.9424450892485274,18.0
119,20,S-FULL,1,30,0.7954551879736409,0.39772759398682045,1.9424450892485274,18.0
119,20,S-FIX,1,10,0.7165394135742806,0.3582697067871403,1.9424450892485274,18.0
119,20,ADA,1,14,0.8108140535176638,0.4054070267588319,1.9424450892485274,18.0
119,20,EXPRESS,0,0,inf,inf,1.9424450892485274,18.0
119,20,K-EXPRESS,0,0,inf,inf,1.9424450892485274,18.0
119,20,EXPRESS-M,1,10,2.9500340775621208,1.4750170387810604,1.9424450892485274,18.0
158,20,FULL,0,30,0.4183031377961981,0.20915156889809905,0.005344416655560586,18.0
158,20,S-FULL,0,30,0.4183031377961981,0.20915156889809905,0.005344416655560586,18.0
158,20,S-FIX,0,10,0.32691641908877145,0.16345820954438572,0.005344416655560586,18.0
158,20,ADA,0,28,0.3452682371149167,0.17263411855745836,0.005344416655560586,18.0
158,20,EXPRESS,0,19,0.3260716924859579,0.16303584624297895,0.005344416655560586,18.0
158,20,K-EXPRESS,0,15,0.3260716924859579,0.16303584624297895,0.005344416655560586,18.0
158,20,EXPRESS-M,0,29,0.49293567483230966,0.24646783741615483,0.005344416655560586,18.0
161,20,FULL,0,30,0.5477375157471618,0.2738687578735809,0.15697572877452515,18.0
161,20,S-FULL,0,30,0.5477375157471618,0.2738687578735809,0.15697572877452515,18.0
161,20,S-FIX,0,10,0.4037205476527346,0.2018602738263673,0.15697572877452515,18.0
161,20,ADA,0,28,0.44752245615872477,0.22376122807936238,0.15697572877452515,18.0
161,20,EXPRESS,0,21,0.40615260128419184,0.20307630064209592,0.15697572877452515,18.0
161,20,K-EXPRESS,0,12,0.7494359612850259,0.37471798064251294,0.15697572877452515,18.0
161,20,EXPRESS-M,0,31,0.5126748904506324,0.2563374452253162,0.15697572877452515,18.0
197,20,FULL,0,30,0.5585684909606057,0.27928424548030284,0.055005309610903524,18.0
197,20,S-FULL,0,30,0.5585684909606057,0.27928424548030284,0.055005309610903524,18.0
197,20,S-FIX,0,10,1.0385525590227465,0.5192762795113732,0.055005309610903524,18.0
197,20,ADA,0,28,0.45938216943380183,0.22969108471690092,0.055005309610903524,18.0
197,20,EXPRESS,0,17,0.20225482172623832,0.10112741086311916,0.055005309610903524,18.0
197,20,K-EXPRESS,0,14,0.6641395449069871,0.33206977245349356,0.055005309610903524,18.0
