strategy,selected,miscovered,miscoverage,avg_n_calibration,median_interval_length,infinite_fraction
FULL,35427,15992,0.45140711886414314,30.0,0.6127520395582067,0.0
S-FULL,35427,16028,0.45242329296863976,30.0,0.6125542257993208,0.0
S-FIX,35427,14232,0.4017274959776442,10.0,0.7355460512117009,0.0
ADA,35427,15448,0.4360515990628617,23.812769921246506,0.6298998190051335,0.0
EXPRESS,35427,14166,0.39986451011940044,9.558274762187033,0.4448080068817508,0.1754593953764078
K-EXPRESS,35427,14229,0.40164281480226943,10.92567815507946,0.6387509484749962,0.05851469218392751
EXPRESS-M,35427,12532,0.35374149659863946,19.558274762187033,0.6042412879930597,0.009145566940469134
