run,t,strategy,miscovered,n_calibration,interval_length,threshold,score_t,sum_s_past
15,18,FULL,0,28,0.5741354488518498,0.2870677244259249,0.09222289649319337,17.0
15,18,S-FULL,0,28,0.5741354488518498,0.2870677244259249,0.09222289649319337,17.0
15,18,S-FIX,0,10,0.5548740903375388,0.2774370451687694,0.09222289649319337,17.0
15,18,ADA,0,27,0.7143114188263281,0.35715570941316405,0.09222289649319337,17.0
15,18,EXPRESS,0,20,0.5548740903375388,0.2774370451687694,0.09222289649319337,17.0
15,18,K-EXPRESS,0,12,0.5548740903375388,0.2774370451687694,0.09222289649319337,17.0
15,18,EXPRESS-M,0,30,0.5741354488518498,0.2870677244259249,0.09222289649319337,17.0
15,19,FULL,1,29,0.5741354488518498,0.2870677244259249,0.3994160282558574,18.0
15,19,S-FULL,1,29,0.5741354488518498,0.2870677244259249,0.3994160282558574,18.0
15,19,S-FIX,1,10,0.5548740903375388,0.2774370451687694,0.3994160282558574,18.0
15,19,ADA,1,28,0.5741354488518498,0.2870677244259249,0.3994160282558574,18.0
15,19,EXPRESS,1,21,0.5548740903375388,0.2774370451687694,0.3994160282558574,18.0
15,19,K-EXPRESS,1,14,0.5249568875845227,0.2624784437922614,0.3994160282558574,18.0
15,19,EXPRESS-M,1,31,0.5741354488518498,0.2870677244259249,0.3994160282558574,18.0
46,19,FULL,1,29,1.178403048273609,0.5892015241368045,1.797769416161514,17.0
46,19,S-FULL,1,29,1.178403048273609,0.5892015241368045,1.797769416161514,17.0
46,19,S-FIX,1,10,1.178403048273609,0.5892015241368045,1.797769416161514,17.0
46,19,ADA,1,14,1.178403048273609,0.5892015241368045,1.797769416161514,17.0
46,19,EXPRESS,0,0,inf,inf,1.797769416161514,17.0
46,19,K-EXPRESS,0,0,inf,inf,1.797769416161514,17.0
46,19,EXPRESS-M,1,10,2.6577991623241077,1.3288995811620539,1.797769416161514,17.0
91,17,FULL,1,27,1.0760652450926664,0.5380326225463332,0.6680666489450586,17.0
91,17,S-FULL,1,27,1.0760652450926664,0.5380326225463332,0.6680666489450586,17.0
91,17,S-FIX,1,10,0.8457535079720047,0.42287675398600233,0.6680666489450586,17.0
91,17,ADA,1,11,0.8457535079720047,0.42287675398600233,0.6680666489450586,17.0
91,17,EXPRESS,0,0,inf,inf,0.6680666489450586,17.0
91,17,K-EXPRESS,0,0,inf,inf,0.6680666489450586,17.0
91,17,EXPRESS-M,0,10,1.8021400501219849,0.9010700250609924,0.6680666489450586,17.0
91,18,FULL,0,28,1.0760652450926664,0.5380326225463332,0.05106870393231766,18.0
91,18,S-FULL,0,28,1.0760652450926664,0.5380326225463332,0.05106870393231766,18.0
91,18,S-FIX,0,10,0.8457535079720047,0.42287675398600233,0.05106870393231766,18.0
91,18,ADA,0,28,1.0760652450926664,0.5380326225463332,0.05106870393231766,18.0
91,18,EXPRESS,0,17,0.8631905482110929,0.43159527410554643,0.05106870393231766,18.0
91,18,K-EXPRESS,0,13,0.6412216069338219,0.32061080346691095,0.05106870393231766,18.0
91,18,EXPRESS-M,0,27,1.1911246716897486,0.5955623358448743,0.05106870393231766,18.0
91,19,FULL,0,29,1.0760652450926664,0.5380326225463332,0.07198477285350291,19.0
91,19,S-FULL,0,29,1.0760652450926664,0.5380326225463332,0.07198477285350291,19.0
91,19,S-FIX,0,10,0.8457535079720047,0.42287675398600233,0.07198477285350291,19.0
91,19,ADA,0,29,1.0760652450926664,0.5380326225463332,0.07198477285350291,19.0
91,19,EXPRESS,0,18,0.8457535079720047,0.42287675398600233,0.07198477285350291,19.0
91,19,K-EXPRESS,0,13,0.4739942701547535,0.23699713507737674,0.07198477285350291,19.0
91,19,EXPRESS-M,0,28,1.1911246716897486,0.5955623358448743,0.07198477285350291,19.0
98,18,FULL,0,28,1.0962893081468161,0.5481446540734081,0.34979044707959006,17.0
98,18,S-FULL,0,28,1.0962893081468161,0.5481446540734081,0.34979044707959006,17.0
98,18,S-FIX,0,10,0.7154283056337416,0.3577141528168708,0.34979044707959006,17.0
98,18,ADA,0,19,0.9300480271152844,0.4650240135576422,0.34979044707959006,17.0
98,18,EXPRESS,0,0,inf,inf,0.34979044707959006,17.0
98,18,K-EXPRESS,0,13,0.7613888470482651,0.3806944235241326,0.34979044707959006,17.0
98,18,EXPRESS-M,0,10,4.71719920911351,2.358599604556755,0.34979044707959006,17.0
98,19,FULL,1,29,1.0962893081468161,0.5481446540734081,0.7027338789840075,18.0
98,19,S-FULL,1,29,1.0962893081468161,0.5481446540734081,0.7027338789840075,18.0
98,19,S-FIX,1,10,0.7154283056337416,0.3577141528168708,0.7027338789840075,18.0
98,19,ADA,1,18,0.7613888470482651,0.3806944235241326,0.7027338789840075,18.0
98,19,EXPRESS,0,0,inf,inf,0.7027338789840075,18.0
98,19,K-EXPRESS,1,13,0.7154283056337416,0.3577141528168708,0.7027338789840075,18.0
98,19,EXPRESS-M,0,10,4.71719920911351,2.358599604556755,0.7027338789840075,18.0
122,19,FULL,1,29,0.9379322211862514,0.4689661105931257,0.6683760538043293,17.0
122,19,S-FULL,1,29,0.9379322211862514,0.4689661105931257,0.6683760538043293,17.0
