strategy,selected,miscovered,miscoverage,avg_n_calibration,median_interval_length,infinite_fraction
FULL,2527,1116,0.4416303917688959,28.682627621685793,0.9616228849433379,0.0
S-FULL,2527,1116,0.4416303917688959,28.682627621685793,0.9616228849433379,0.0
S-FIX,2527,1148,0.45429362880886426,10.0,0.9302494359187183,0.0
ADA,2527,1095,0.4333201424614167,22.632766125840917,0.9772642282903621,0.0
EXPRESS,2527,828,0.32766125840918087,9.278195488721805,0.9433612719541311,0.24693312227938266
K-EXPRESS,2527,947,0.37475267115156313,10.362089434111594,0.9897392700403889,0.10565888405223585
EXPRESS-M,2527,797,0.3153937475267115,19.278195488721803,1.132989763159101,0.0
