strategy,selected,miscovered,miscoverage,avg_n_calibration,median_interval_length,infinite_fraction
FULL,48373,21104,0.43627643520145537,28.700742149546233,0.9618166227578429,0.0
S-FULL,48373,21097,0.4361317263762843,28.700742149546233,0.9620192986421094,0.0
S-FIX,48373,19349,0.39999586546213795,10.0,1.0710629960231275,0.0
ADA,48373,20567,0.42517520104190354,22.69224567423976,0.981996803720823,0.0
EXPRESS,48373,19387,0.4007814276559238,9.295991565542762,0.8457758781005474,0.17979037893039507
K-EXPRESS,48373,19322,0.39943770285076385,10.437103342773861,0.9920683109530661,0.07179624997415913
EXPRESS-M,48373,16672,0.3446550761788601,19.29599156554276,1.1052862088202082,0.0
