strategy,selected,miscovered,miscoverage,avg_n_calibration,median_interval_length,infinite_fraction
FULL,48210,21042,0.43646546359676414,28.697884256378345,0.9554986073479677,0.0
S-FULL,48210,21042,0.43646546359676414,28.697884256378345,0.9554986073479677,0.0
S-FIX,48210,21788,0.451939431653184,10.0,0.9216767111633815,0.0
ADA,48210,20614,0.42758763741962247,22.690250985272765,0.9734387578626054,0.0
EXPRESS,48210,15454,0.32055590126529765,9.26540136901058,0.9406544723065016,0.2442231902095001
K-EXPRESS,48210,18084,0.3751088985687617,10.433582244347646,0.9919661928843175,0.0978635137938187
EXPRESS-M,48210,14809,0.30717693424600706,19.26540136901058,1.1446542752358195,0.0
